Quotazioni Immobiliari : Valori di Mercato - Semestre 2015/2 - elaborazione del 23-MAG-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;20;Abitazioni civili;NORMALE;P;1050;1350;L;4,3;6,2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;21;Abitazioni di tipo economico;NORMALE;P;850;1100;L;3,3;4,8;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;16;Autorimesse;NORMALE;P;450;600;L;2,5;3,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;13;Box;NORMALE;P;700;1000;L;4,1;6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;14;Posti auto coperti;NORMALE;P;500;650;L;2,8;4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;15;Posti auto scoperti;NORMALE;P;400;500;L;2,1;2,7;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;5;Negozi;NORMALE;P;1300;1900;L;6,3;8;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;6;Uffici;NORMALE;P;1150;1500;L;5,5;6,8;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;20;Abitazioni civili;NORMALE;P;1350;1750;L;5;7,2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;21;Abitazioni di tipo economico;NORMALE;P;1150;1500;L;4;6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;16;Autorimesse;NORMALE;P;500;600;L;2,9;3,7;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;13;Box;NORMALE;P;800;1100;L;4,9;7;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;14;Posti auto coperti;NORMALE;P;600;750;L;3,3;4,6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;15;Posti auto scoperti;NORMALE;P;400;500;L;2,4;3,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;5;Negozi;NORMALE;P;2300;3400;L;9;13,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;6;Uffici;NORMALE;P;1350;1800;L;5,5;8;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;20;Abitazioni civili;NORMALE;P;950;1250;L;3,7;5,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;21;Abitazioni di tipo economico;NORMALE;P;700;900;L;3,1;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;16;Autorimesse;NORMALE;P;330;440;L;1,9;2,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;13;Box;NORMALE;P;540;750;L;3,1;4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;14;Posti auto coperti;NORMALE;P;400;550;L;2,1;3;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;15;Posti auto scoperti;NORMALE;P;270;380;L;1,5;2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;1;Ville e Villini;NORMALE;P;1250;1400;L;4;6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;5;Negozi;NORMALE;P;900;1100;L;4,2;5,3;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;6;Uffici;NORMALE;P;950;1300;L;4,4;5,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;7;Capannoni tipici;NORMALE;P;405;540;L;3,2;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;10;Laboratori;NORMALE;P;325;450;L;2,7;3,7;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C2;BL00001257;20;Abitazioni civili;NORMALE;P;900;1200;L;4;6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C2;BL00001257;21;Abitazioni di tipo economico;NORMALE;P;700;850;L;3,1;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C2;BL00001257;16;Autorimesse;NORMALE;P;330;440;L;1,9;2,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C2;BL00001257;13;Box;NORMALE;P;540;750;L;3,1;4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C2;BL00001257;14;Posti auto coperti;NORMALE;P;400;550;L;2,1;3;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C2;BL00001257;15;Posti auto scoperti;NORMALE;P;270;380;L;1,5;2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C2;BL00001257;1;Ville e Villini;NORMALE;P;1250;1400;L;4;6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C2;BL00001257;5;Negozi;NORMALE;P;900;1100;L;4,2;5,3;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C2;BL00001257;6;Uffici;NORMALE;P;950;1300;L;4,4;5,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C2;BL00001257;7;Capannoni tipici;NORMALE;P;405;540;L;3,2;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C3;BL00001940;20;Abitazioni civili;NORMALE;P;900;1200;L;4;6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C3;BL00001940;21;Abitazioni di tipo economico;NORMALE;P;700;900;L;3,1;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C3;BL00001940;16;Autorimesse;NORMALE;P;330;440;L;1,9;2,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C3;BL00001940;13;Box;NORMALE;P;540;750;L;3,1;4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C3;BL00001940;14;Posti auto coperti;NORMALE;P;400;550;L;2,1;3;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C3;BL00001940;15;Posti auto scoperti;NORMALE;P;270;380;L;1,5;2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C3;BL00001940;1;Ville e Villini;NORMALE;P;1250;1400;L;4;6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C3;BL00001940;5;Negozi;NORMALE;P;900;1100;L;4,2;5,3;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C3;BL00001940;6;Uffici;NORMALE;P;950;1300;L;4,4;5,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C3;BL00001940;7;Capannoni tipici;NORMALE;P;405;540;L;3,2;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D1;BL00000032;20;Abitazioni civili;NORMALE;P;850;1100;L;3,3;4,9;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D1;BL00000032;21;Abitazioni di tipo economico;NORMALE;P;630;800;L;3;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D1;BL00000032;16;Autorimesse;NORMALE;P;240;340;L;1,2;1,4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D1;BL00000032;13;Box;NORMALE;P;420;550;L;1,9;2,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D1;BL00000032;14;Posti auto coperti;NORMALE;P;300;380;L;1,3;1,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D1;BL00000032;15;Posti auto scoperti;NORMALE;P;210;270;L;,8;1,2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D1;BL00000032;1;Ville e Villini;NORMALE;P;1100;1250;L;3,3;4,9;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D1;BL00000032;7;Capannoni tipici;NORMALE;P;300;405;L;2,5;3,3;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D1;BL00000032;10;Laboratori;NORMALE;P;250;325;L;2,2;2,9;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D2;BL00001942;20;Abitazioni civili;NORMALE;P;850;1100;L;3,3;4,9;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D2;BL00001942;21;Abitazioni di tipo economico;NORMALE;P;630;800;L;3;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D2;BL00001942;16;Autorimesse;NORMALE;P;240;340;L;1,2;1,4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D2;BL00001942;13;Box;NORMALE;P;420;550;L;1,9;2,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D2;BL00001942;14;Posti auto coperti;NORMALE;P;300;380;L;1,3;1,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D2;BL00001942;15;Posti auto scoperti;NORMALE;P;210;270;L;,8;1,2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D2;BL00001942;1;Ville e Villini;NORMALE;P;1100;1250;L;3,3;4,9;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E1;BL00000033;20;Abitazioni civili;NORMALE;P;900;1150;L;3,3;4,9;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E1;BL00000033;16;Autorimesse;NORMALE;P;240;340;L;1,1;1,4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E1;BL00000033;13;Box;NORMALE;P;420;600;L;1,8;2,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E1;BL00000033;14;Posti auto coperti;NORMALE;P;300;400;L;1,2;1,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E1;BL00000033;15;Posti auto scoperti;NORMALE;P;200;270;L;,8;1,2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E1;BL00000033;1;Ville e Villini;NORMALE;P;1100;1250;L;3,3;4,9;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E1;BL00000033;5;Negozi;NORMALE;P;870;980;L;3,8;4,6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E2;BL00000034;20;Abitazioni civili;NORMALE;P;950;1150;L;4,3;6,4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E2;BL00000034;21;Abitazioni di tipo economico;NORMALE;P;750;900;L;3,1;4,6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E2;BL00000034;16;Autorimesse;NORMALE;P;240;340;L;1,5;2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E2;BL00000034;13;Box;NORMALE;P;420;550;L;2,5;3,4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E2;BL00000034;14;Posti auto coperti;NORMALE;P;300;380;L;1,8;2,3;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E2;BL00000034;15;Posti auto scoperti;NORMALE;P;210;270;L;1,2;1,6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E2;BL00000034;1;Ville e Villini;NORMALE;P;1150;1350;L;4,1;6,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E3;BL00001943;20;Abitazioni civili;NORMALE;P;900;1100;L;3,1;4,6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E3;BL00001943;16;Autorimesse;NORMALE;P;240;340;L;1,1;1,4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E3;BL00001943;13;Box;NORMALE;P;450;600;L;1,8;2,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E3;BL00001943;14;Posti auto coperti;NORMALE;P;300;400;L;1,2;1,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E3;BL00001943;15;Posti auto scoperti;NORMALE;P;210;300;L;,8;1,2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E3;BL00001943;1;Ville e Villini;NORMALE;P;1150;1300;L;3,1;4,6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;E3;BL00001943;5;Negozi;NORMALE;P;870;980;L;3,8;4,6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;R;R1;BL00002168;20;Abitazioni civili;NORMALE;P;850;1050;L;3,3;4,9;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;R;R1;BL00002168;21;Abitazioni di tipo economico;NORMALE;P;630;800;L;3;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;R;R1;BL00002168;16;Autorimesse;NORMALE;P;240;340;L;1,2;1,4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;R;R1;BL00002168;13;Box;NORMALE;P;420;550;L;1,9;2,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;R;R1;BL00002168;14;Posti auto coperti;NORMALE;P;300;380;L;1,3;1,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;R;R1;BL00002168;15;Posti auto scoperti;NORMALE;P;210;270;L;,8;1,2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;R;R1;BL00002168;1;Ville e Villini;NORMALE;P;1100;1250;L;3,3;4,9;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B1;BL00000059;20;Abitazioni civili;NORMALE;P;1250;1550;L;4,5;5,3;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B1;BL00000059;21;Abitazioni di tipo economico;NORMALE;P;1050;1200;L;4,1;5,4;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B1;BL00000059;16;Autorimesse;NORMALE;P;370;470;L;2,2;2,5;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B1;BL00000059;13;Box;NORMALE;P;630;790;L;3,7;4,4;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B1;BL00000059;14;Posti auto coperti;NORMALE;P;450;560;L;2,5;3,1;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B1;BL00000059;15;Posti auto scoperti;NORMALE;P;320;400;L;1,9;2,2;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B1;BL00000059;1;Ville e Villini;NORMALE;P;1350;1700;L;4,4;5,1;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B1;BL00000059;5;Negozi;NORMALE;P;1650;1850;L;5,2;5,7;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B1;BL00000059;6;Uffici;NORMALE;P;1350;1550;L;4,4;4,7;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B2;BL00001760;20;Abitazioni civili;NORMALE;P;1400;1600;L;4,3;5,9;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B2;BL00001760;21;Abitazioni di tipo economico;NORMALE;P;1100;1300;L;4,3;5,1;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B2;BL00001760;16;Autorimesse;NORMALE;P;450;570;L;2,5;3,3;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B2;BL00001760;13;Box;NORMALE;P;750;950;L;4,4;5,6;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B2;BL00001760;14;Posti auto coperti;NORMALE;P;520;670;L;3,1;3,9;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B2;BL00001760;15;Posti auto scoperti;NORMALE;P;370;470;L;2,2;2,8;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B2;BL00001760;5;Negozi;NORMALE;P;2050;2450;L;6,4;7,5;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;B2;BL00001760;6;Uffici;NORMALE;P;1400;1750;L;4,7;5,1;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;C;C1;BL00000060;20;Abitazioni civili;NORMALE;P;1050;1300;L;4,1;4,8;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;C;C1;BL00000060;21;Abitazioni di tipo economico;NORMALE;P;850;1000;L;3,3;3,8;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;C;C1;BL00000060;16;Autorimesse;NORMALE;P;355;450;L;2,1;2,7;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;C;C1;BL00000060;13;Box;NORMALE;P;620;740;L;3,6;4,5;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;C;C1;BL00000060;14;Posti auto coperti;NORMALE;P;430;530;L;2,6;3,2;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;C;C1;BL00000060;15;Posti auto scoperti;NORMALE;P;285;345;L;1,5;2;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;C;C1;BL00000060;1;Ville e Villini;NORMALE;P;1100;1300;L;4;4,8;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;C;C1;BL00000060;5;Negozi;NORMALE;P;1050;1150;L;3;3,3;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;C;C1;BL00000060;7;Capannoni tipici;NORMALE;P;370;510;L;3;4,1;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;C;C1;BL00000060;10;Laboratori;NORMALE;P;300;420;L;2,5;3,6;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;D;D1;BL00000061;20;Abitazioni civili;NORMALE;P;900;1100;L;3,6;4,1;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;D;D1;BL00000061;21;Abitazioni di tipo economico;NORMALE;P;750;900;L;2,9;3,3;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;D;D1;BL00000061;16;Autorimesse;NORMALE;P;285;335;L;1,4;1,7;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;D;D1;BL00000061;13;Box;NORMALE;P;480;570;L;2,4;2,9;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;D;D1;BL00000061;14;Posti auto coperti;NORMALE;P;335;400;L;1,7;2;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;D;D1;BL00000061;15;Posti auto scoperti;NORMALE;P;245;285;L;1,2;1,3;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;D;D1;BL00000061;1;Ville e Villini;NORMALE;P;950;1100;L;3,6;4,1;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;E;E1;BL00000062;20;Abitazioni civili;NORMALE;P;950;1100;L;3,6;4,5;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;E;E1;BL00000062;16;Autorimesse;NORMALE;P;315;380;L;1,4;2;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;E;E1;BL00000062;13;Box;NORMALE;P;520;640;L;2,4;3,3;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;E;E1;BL00000062;14;Posti auto coperti;NORMALE;P;370;460;L;1,7;2,2;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;E;E1;BL00000062;15;Posti auto scoperti;NORMALE;P;255;325;L;1,2;1,5;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;E;E1;BL00000062;1;Ville e Villini;NORMALE;P;1050;1300;L;3,6;4,5;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;E;E1;BL00000062;8;Capannoni industriali;NORMALE;P;360;470;L;2,8;4;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;E;E1;BL00000062;7;Capannoni tipici;NORMALE;P;280;370;L;2,3;3,2;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;R;R1;BL00002162;20;Abitazioni civili;NORMALE;P;900;1100;L;3,6;4,1;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;R;R1;BL00002162;21;Abitazioni di tipo economico;NORMALE;P;750;900;L;2,9;3,3;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;R;R1;BL00002162;16;Autorimesse;NORMALE;P;285;335;L;1,4;1,7;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;R;R1;BL00002162;13;Box;NORMALE;P;480;570;L;2,4;2,9;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;R;R1;BL00002162;14;Posti auto coperti;NORMALE;P;335;400;L;1,7;2;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;R;R1;BL00002162;15;Posti auto scoperti;NORMALE;P;245;285;L;1,2;1,3;L;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;R;R1;BL00002162;1;Ville e Villini;NORMALE;P;950;1100;L;3,6;4,1;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;B;B1;BL00000076;20;Abitazioni civili;NORMALE;P;750;900;L;2,5;3,7;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;B;B1;BL00000076;21;Abitazioni di tipo economico;NORMALE;P;650;800;L;2;3;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;B;B1;BL00000076;16;Autorimesse;NORMALE;P;220;260;L;1,4;1,6;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;B;B1;BL00000076;13;Box;NORMALE;P;370;440;L;2,2;2,5;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;B;B1;BL00000076;14;Posti auto coperti;NORMALE;P;250;320;L;1,6;1,9;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;B;B1;BL00000076;15;Posti auto scoperti;NORMALE;P;190;220;L;1,1;1,3;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;B;B1;BL00000076;1;Ville e Villini;NORMALE;P;850;1100;L;2,8;4,1;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;B;B1;BL00000076;5;Negozi;NORMALE;P;790;920;L;2,6;3,9;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;B;B1;BL00000076;6;Uffici;NORMALE;P;700;850;L;2,8;4;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;D;D1;BL00000077;20;Abitazioni civili;NORMALE;P;650;800;L;2;3;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;D;D1;BL00000077;16;Autorimesse;NORMALE;P;190;240;L;,9;1,3;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;D;D1;BL00000077;13;Box;NORMALE;P;280;400;L;1,7;2,4;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;D;D1;BL00000077;14;Posti auto coperti;NORMALE;P;210;270;L;1,3;1,6;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;D;D1;BL00000077;15;Posti auto scoperti;NORMALE;P;150;210;L;,8;1,2;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;D;D1;BL00000077;1;Ville e Villini;NORMALE;P;800;1050;L;2,4;3,6;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;D;D1;BL00000077;5;Negozi;NORMALE;P;700;860;L;2,6;3,9;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;D;D1;BL00000077;7;Capannoni tipici;NORMALE;P;255;330;L;2;3;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;D;D1;BL00000077;10;Laboratori;NORMALE;P;220;285;L;1,6;2,4;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;R;R1;BL00002040;20;Abitazioni civili;NORMALE;P;500;750;L;1,7;2,5;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;R;R1;BL00002040;16;Autorimesse;NORMALE;P;140;190;L;,7;1;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;R;R1;BL00002040;13;Box;NORMALE;P;220;280;L;1,3;1,7;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;R;R1;BL00002040;14;Posti auto coperti;NORMALE;P;160;210;L;,8;1,2;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;R;R1;BL00002040;15;Posti auto scoperti;NORMALE;P;120;150;L;,6;,8;L;
NORD-EST;VENETO;BL;5025002;D2AC; ;A121;ALANO DI PIAVE;R;R1;BL00002040;1;Ville e Villini;NORMALE;P;600;900;L;2,2;3,3;L;
NORD-EST;VENETO;BL;5025003;D2AD; ;A206;ALLEGHE;B;B1;BL00000093;20;Abitazioni civili;NORMALE;P;1750;2150;L;5,3;6,7;L;
NORD-EST;VENETO;BL;5025003;D2AD; ;A206;ALLEGHE;B;B1;BL00000093;21;Abitazioni di tipo economico;NORMALE;P;1550;1900;L;4,6;5,5;L;
NORD-EST;VENETO;BL;5025003;D2AD; ;A206;ALLEGHE;B;B1;BL00000093;16;Autorimesse;NORMALE;P;510;630;L;2,1;2,3;L;
NORD-EST;VENETO;BL;5025003;D2AD; ;A206;ALLEGHE;B;B1;BL00000093;13;Box;NORMALE;P;850;1050;L;3,6;3,9;L;
