"year","sem","time","post","Comune_ISTAT","Comune_amm","Comune_descrizione","Fascia","Zona","LinkZona","zone_key","price_mid","Compr_min","Compr_max","CODCOM","CODZONA","cx","cy","dist_cortina_km","dist_bin","log_price"
2021,1,2021,1,5025023,"B574","CANALE D`AGORDO","B","B1","BL00000217","B574_B1",1225,1100,1350,"B574","B1",724196.313853089,5137859.75443066,26.5239088386692,"20-40 km",7.11069612297883
2021,1,2021,1,5025023,"B574","CANALE D`AGORDO","E","E2","BL00002260","B574_E2",1100,1000,1200,"B574","E2",723076.109977143,5139344.81457385,26.0838210399994,"20-40 km",7.00306545878646
2021,1,2021,1,5025023,"B574","CANALE D`AGORDO","R","R1","BL00002209","B574_R1",900,800,1000,"B574","R1",722025.595192711,5134383.14095131,30.607099573714,"20-40 km",6.80239476332431
2021,1,2021,1,5025040,"B662","PONTE NELLE ALPI","B","B1","BL00000237","B662_B1",1025,850,1200,"B662","B1",753096.929222859,5119441.92021122,41.5366042158817,"40-60 km",6.93244789157251
2021,1,2021,1,5025040,"B662","PONTE NELLE ALPI","D","D1","BL00000238","B662_D1",875,750,1000,"B662","D1",753561.45696507,5121164.18909794,40.0535641386623,"40-60 km",6.77422388635761
2021,1,2021,1,5025040,"B662","PONTE NELLE ALPI","E","E1","BL00000239","B662_E1",975,800,1150,"B662","E1",754992.020015231,5117169.50560103,44.2966107579938,"40-60 km",6.88243747099785
2021,1,2021,1,5025040,"B662","PONTE NELLE ALPI","R","R1","BL00001961","B662_R1",875,750,1000,"B662","R1",754172.305706358,5117795.70718334,43.4373747814904,"40-60 km",6.77422388635761
2021,1,2021,1,5025010,"C458","CENCENIGHE AGORDINO","B","B1","BL00000276","C458_B1",1100,1000,1200,"C458","B1",728395.613291899,5137331.79537328,24.6703742769407,"20-40 km",7.00306545878646
2021,1,2021,1,5025010,"C458","CENCENIGHE AGORDINO","D","D1","BL00000277","C458_D1",900,800,1000,"C458","D1",728775.774902668,5136773.58535928,24.9836867387527,"20-40 km",6.80239476332431
2021,1,2021,1,5025010,"C458","CENCENIGHE AGORDINO","R","R1","BL00002080","C458_R1",840,740,940,"C458","R1",728490.161232036,5136790.63434755,25.1014214553464,"20-40 km",6.73340189183736
2021,1,2021,1,5025072,"M375","ALPAGO","B","B1","BL00002422","M375_B1",950,900,1000,"M375","B1",759403.37177841,5113001.09931329,49.7710683708592,"40-60 km",6.85646198459459
2021,1,2021,1,5025072,"M375","ALPAGO","B","B2","BL00002421","M375_B2",925,850,1000,"M375","B2",759341.214832874,5114851.4691391,48.0433094378517,"40-60 km",6.82979373751242
2021,1,2021,1,5025072,"M375","ALPAGO","B","B3","BL00002420","M375_B3",850,800,900,"M375","B3",758815.372386523,5118091.05077428,44.8681772544609,"40-60 km",6.74523634948436
2021,1,2021,1,5025072,"M375","ALPAGO","D","D1","BL00002480","M375_D1",790,650,930,"M375","D1",758740.953483327,5113565.14615334,48.997384235993,"40-60 km",6.67203294546107
2021,1,2021,1,5025072,"M375","ALPAGO","E","E2","BL00002440","M375_E2",840,750,930,"M375","E2",763014.13707398,5112368.54393269,51.8346844361743,"40-60 km",6.73340189183736
2021,1,2021,1,5025072,"M375","ALPAGO","E","E3","BL00002500","M375_E3",850,750,950,"M375","E3",761266.149490868,5115478.65522479,48.273456893954,"40-60 km",6.74523634948436
2021,1,2021,1,5025072,"M375","ALPAGO","E","E4","BL00002460","M375_E4",775,700,850,"M375","E4",759736.085884845,5117679.85106571,45.6279138688984,"40-60 km",6.65286302935335
2021,1,2021,1,5025072,"M375","ALPAGO","R","R1","BL00002423","M375_R1",735,600,870,"M375","R1",759942.012478237,5113859.54257912,49.192448016727,"40-60 km",6.59987049921284
2021,1,2021,1,5025011,"C577","CESIOMAGGIORE","B","B1","BL00000312","C577_B1",850,750,950,"C577","B1",730808.755352607,5108002.86769896,51.8212396465352,"40-60 km",6.74523634948436
2021,1,2021,1,5025011,"C577","CESIOMAGGIORE","E","E1","BL00000314","C577_E1",775,700,850,"C577","E1",728355.744596708,5106499.72258135,53.7898327412073,"40-60 km",6.65286302935335
2021,1,2021,1,5025011,"C577","CESIOMAGGIORE","R","R1","BL00002121","C577_R1",700,600,800,"C577","R1",728640.545323369,5110869.21387865,49.4707382769179,"40-60 km",6.5510803350434
2021,1,2021,1,5025012,"C630","CHIES D`ALPAGO","B","B1","BL00000328","C630_B1",800,700,900,"C630","B1",761374.964441734,5118929.03461461,45.241753111126,"40-60 km",6.68461172766793
2021,1,2021,1,5025012,"C630","CHIES D`ALPAGO","E","E1","BL00000330","C630_E1",625,550,700,"C630","E1",762124.41004741,5118975.91522616,45.5548867459973,"40-60 km",6.4377516497364
2021,1,2021,1,5025012,"C630","CHIES D`ALPAGO","R","R1","BL00002123","C630_R1",525,450,600,"C630","R1",764570.698826269,5118970.82343008,46.7816013261478,"40-60 km",6.26339826259162
2021,1,2021,1,5025013,"C672","CIBIANA DI CADORE","B","B1","BL00000344","C672_B1",900,800,1000,"C672","B1",753008.063355624,5142945.73811838,20.4500050303653,"20-40 km",6.80239476332431
2021,1,2021,1,5025013,"C672","CIBIANA DI CADORE","R","R1","BL00002023","C672_R1",725,650,800,"C672","R1",751483.664284694,5140805.5171089,21.3262913921309,"20-40 km",6.58617165485467
2021,1,2021,1,5025014,"C872","COLLE SANTA LUCIA","B","B1","BL00000360","C872_B1",1600,1500,1700,"C872","B1",731702.295237071,5148438.74286963,13.5676020911311,"0-20 km",7.37775890822787
2021,1,2021,1,5025014,"C872","COLLE SANTA LUCIA","R","R1","BL00002022","C872_R1",1275,1150,1400,"C872","R1",731830.181988594,5150451.69997816,11.9846344855465,"0-20 km",7.15070145759253
2021,1,2021,1,5025050,"C919","SANTO STEFANO DI CADORE","B","B1","BL00000376","C919_B1",1650,1550,1750,"C919","B1",772239.683070137,5162080.11632837,32.1131961443872,"20-40 km",7.40853056689463
2021,1,2021,1,5025050,"C919","SANTO STEFANO DI CADORE","E","E1","BL00000379","C919_E1",1325,1250,1400,"C919","E1",774297.754406602,5162941.23283622,34.2516658041354,"20-40 km",7.18916773842032
2021,1,2021,1,5025050,"C919","SANTO STEFANO DI CADORE","E","E4","BL00001267","C919_E4",1325,1250,1400,"C919","E4",771482.445090574,5163792.44364632,31.5764851795563,"20-40 km",7.18916773842032
2021,1,2021,1,5025050,"C919","SANTO STEFANO DI CADORE","R","R1","BL00002145","C919_R1",1100,1000,1200,"C919","R1",776681.880239874,5164360.1085505,36.8022393519847,"20-40 km",7.00306545878646
2021,1,2021,1,5025015,"C920","COMELICO SUPERIORE","B","B1","BL00000393","C920_B1",1400,1200,1600,"C920","B1",767585.135090414,5166440.10234237,28.314159052046,"20-40 km",7.24422751560335
2021,1,2021,1,5025015,"C920","COMELICO SUPERIORE","R","R1","BL00002222","C920_R1",1050,950,1150,"C920","R1",765843.619029802,5169762.71649521,27.7564646426547,"20-40 km",6.95654544315157
2021,1,2021,1,5025017,"D247","DANTA DI CADORE","B","B1","BL00000409","D247_B1",1225,1100,1350,"D247","B1",769550.395997692,5163098.06132528,29.5633918610525,"20-40 km",7.11069612297883
